fid,osm_id,name,highway,angle,xcoord,ycoord
168,"424829491",North 7th Street,secondary,11.280702918254393,-75.151251088514357,39.954337818751128
168,"424829491",North 7th Street,secondary,11.280702918254393,-75.151192403755019,39.954632022930262
169,"424829492",North 7th Street,secondary,16.417587547243691,-75.151998000000006,39.950941499999999
169,"424829492",North 7th Street,secondary,12.579646896498653,-75.151923691122747,39.951231978711554
169,"424829492",North 7th Street,secondary,12.579646896498653,-75.151858352156538,39.951524776968888
169,"424829492",North 7th Street,secondary,12.579646896498653,-75.151793013190343,39.951817575226215
169,"424829492",North 7th Street,secondary,12.375159902248045,-75.151727753034947,39.952110390922869
169,"424829492",North 7th Street,secondary,12.375159902248045,-75.151663459471237,39.952403420507842
169,"424829492",North 7th Street,secondary,12.375159902248045,-75.151599165907527,39.952696450092809
170,"424829493",North 8th Street,secondary,192.694835395617588,-75.153030999999999,39.953651000000001
170,"424829493",North 8th Street,secondary,192.678094651690515,-75.153096908118428,39.953358329334272
171,"424829495",North 8th Street,secondary,192.750564924775830,-75.153137799999996,39.953164800000003
172,"424829496",North 8th Street,secondary,192.573779366830649,-75.152789600000006,39.954751999999999
172,"424829496",North 8th Street,secondary,192.573779366830649,-75.152854908981070,39.954459195052991
172,"424829496",North 8th Street,secondary,192.581451976187935,-75.152920253034566,39.954166397931218
173,"522383580",North 4th Street,tertiary,192.320080839047591,-75.146368316019419,39.954394420170352
173,"522383580",North 4th Street,tertiary,197.080233572980973,-75.146431358929817,39.954101213664742
173,"522383580",North 4th Street,tertiary,191.940435775866007,-75.146515878400834,39.953813453023443
173,"522383580",North 4th Street,tertiary,191.940435775866007,-75.146577946812158,39.953519944058804
173,"522383580",North 4th Street,tertiary,192.114719274551391,-75.146640291528925,39.953226493963733
173,"522383580",North 4th Street,tertiary,186.103995614570266,-75.146700825787022,39.952932713119203
173,"522383580",North 4th Street,tertiary,192.568195268592603,-75.146740508466706,39.952635457168803
173,"522383580",North 4th Street,tertiary,191.496563015339660,-75.146806330269186,39.952342784509845
173,"522383580",North 4th Street,tertiary,192.413316508692759,-75.146870301727205,39.952049688411009
173,"522383580",North 4th Street,tertiary,192.413316508692759,-75.146934790422165,39.951756701707858
173,"522383580",North 4th Street,tertiary,192.411141075863924,-75.146999269822970,39.951463712959182
173,"522383580",North 4th Street,tertiary,192.406618371314636,-75.147063735073473,39.951170721096943
173,"522383580",North 4th Street,tertiary,192.346177243732996,-75.147128173113757,39.950877723309659
173,"522383580",North 4th Street,tertiary,192.346177243732996,-75.147192318442336,39.950584661239745
174,"522383581",Market Street,primary,277.200504813446400,-75.148047599999998,39.950489400000002
174,"522383581",Market Street,primary,278.106222225035481,-75.148345011067775,39.950528682180938
174,"522383581",Market Street,primary,278.106222225035481,-75.148642013572825,39.950570984804742
175,"556951994",South 8th Street,residential,192.264773720806318,-75.153921800000006,39.949625500000003
175,"556951994",South 8th Street,residential,192.313810068305997,-75.153985724652230,39.949332389734849
175,"556951994",South 8th Street,residential,193.238951370717700,-75.154050923044124,39.949039567812449
175,"556951994",South 8th Street,residential,191.981121775310044,-75.154117364234324,39.948747029858055
175,"556951994",South 8th Street,residential,191.994022686868846,-75.154179701785054,39.948453577937919
175,"556951994",South 8th Street,residential,192.670431466818741,-75.154242224752963,39.948160166520893
176,"556951995",Market Street,primary,276.996096455459167,-75.153574199999994,39.951137600000003
176,"556951995",Market Street,primary,277.093672928241403,-75.153871927853615,39.951174451910674
