                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.0486,                 1.3956,                0.66284,                 1.0893,                0.86448,                0.69903,                0.82646,                0.47161,                0.87718,                0.70874,                0.79943,                0.46771,                  1.496,                 1.7712,                0.94255,                 1.4485,              0.0018852,              0.0018852,              0.0018852
                     61,                 1.0747,                 1.4367,                0.69315,                 1.1118,                0.79234,                0.70389,                0.78087,                0.43663,                 0.8247,                 0.7308,                0.79588,                0.44708,                 1.6085,                 1.6844,                 1.1077,                 1.5636,              0.0018832,              0.0018832,              0.0018832
                     62,                 1.0644,                 1.4049,                0.69963,                 1.1012,                0.83428,                 0.8309,                0.84879,                0.50682,                0.81577,                0.81682,                0.82288,                0.48152,                 1.4692,                 1.6971,                0.89546,                 1.4309,              0.0018812,              0.0018812,              0.0018812
                     63,                 1.1095,                 1.4854,                0.72425,                  1.133,                0.84914,                0.76699,                0.84057,                0.53231,                0.83839,                0.75728,                0.80698,                0.49317,                 1.3315,                 1.6983,                0.93967,                  1.379,              0.0018792,              0.0018792,              0.0018792
                     64,                 1.0339,                 1.4374,                0.69789,                 1.1068,                0.85057,                0.78641,                0.84508,                0.52235,                0.84985,                0.78641,                 0.8201,                0.47728,                  1.362,                 1.8588,                0.86865,                 1.3834,              0.0018772,              0.0018772,              0.0018772
                     65,                 1.0293,                 1.3552,                0.67175,                 1.0885,                0.89425,                0.73893,                0.87655,                0.53137,                0.89535,                0.73786,                0.85792,                0.50385,                 1.3979,                 1.7778,                0.83729,                 1.4481,              0.0018753,              0.0018753,              0.0018753
                     66,                 1.0075,                 1.3375,                0.65267,                 1.0819,                0.90288,                0.81553,                0.88256,                 0.5317,                0.88505,                0.80583,                  0.873,                0.51837,                 1.3937,                 1.7335,                 0.7965,                 1.3925,              0.0018733,              0.0018733,              0.0018733
                     67,                 1.0079,                 1.4067,                0.66936,                  1.088,                0.86518,                   0.81,                0.89807,                0.54803,                0.86227,                0.81553,                0.86975,                0.48485,                 1.3976,                 1.8152,                0.82628,                 1.4076,              0.0018713,              0.0018713,              0.0018713
                     68,                  1.016,                 1.3957,                0.65725,                 1.0791,                0.83939,                 0.7767,                0.84691,                0.50244,                 0.8356,                0.74757,                 0.7977,                0.44946,                 1.4745,                 2.0187,                0.85476,                 1.4459,              0.0018693,              0.0018693,              0.0018693
                     69,                 1.0059,                  1.387,                0.65987,                 1.0798,                0.79533,                0.83002,                0.83095,                0.49163,                0.78668,                0.75192,                 0.7939,                0.46296,                 1.4098,                 1.6924,                0.93405,                 1.4112,              0.0018673,              0.0018673,              0.0018673
